IN,year,expenditures,income,income_log,contributions,dfpa,djpa,founded,age_log,development,education,environment,humanitarian,health,numpart,numpart_log,depth,breadth,partnerships,agreements,monitoring,capacity,design,implementation,financial,un_system,wb_group,scope,ppp,gdp_ratio,memnum_log,idealpoint,pol_avg,geo_hhi,aus_results,aus_multi,aus_strategic,aus_cost,den_eff,den_innov,den_risk,den_comp,den_reform,den_fin,den_cont,mop_off,mop_scci,mop_ra,mop_cets,mop_rf,mop_ar,mop_rde,mop_sr,mop_pdr,mop_ctfr,mop_cpfr,mop_rad,mop_lamp,mop_fa,mop_upi,mop_mhr,mop_pop,mop_exr,mop_ppi,mop_dll,net_strategy,net_governance,net_hrm,net_financial,net_results,net_focus,swe_internal,swe_external,uk_critint,uk_results,uk_cost,uk_poor,uk_strategic,uk_financial,uk_comp,uk_geo,uk_hr,uk_risk,uk_fraud,uk_efficiency,aus_pi,mop_pi,den_pi,net_pi,uk_pi,swe_pi,avg_pi,time_trend,time_trend2,income_log,expenditures_lag,income_lag,contributions_lag,dfpa_lag,djpa_lag,founded_lag,age_log_lag,development_lag,education_lag,environment_lag,humanitarian_lag,health_lag,numpart_lag,numpart_log_lag,depth_lag,breadth_lag,partnerships_lag,agreements_lag,monitoring_lag,capacity_lag,design_lag,implementation_lag,financial_lag,un_system_lag,wb_group_lag,scope_lag,ppp_lag,gdp_ratio_lag,memnum_log_lag,IdealPoint_lag,pol_avg_lag,geo_hhi_lag
AF,2012,18.008605,51.221315,3.936155754,33.668209,3.342707089,5,2001,2.48490665,0,0,1,0,0,20,3.044522438,1,0.5,1.522261219,0,0,0,0,0,1,0,0,1,0,0.202465388,5.220355825,0.751543537,4.180645161,1197.530864,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.487876596,NA,NA,NA,NA,NA,-0.487876596,5,25,3.936155754,15.314351,86.555732,28.761452,3.667711758,5,2001,2.397895273,0,0,1,0,0,20,3.044522438,1,0.5,1.522261219,0,0,0,0,0,1,0,0,1,0,0.205086842,5.225746674,0.777011276,4.205128205,1237.141723
AFDB,2010,2991.683838,4938.682166,8.504853807,1722.323351,3.026258515,2.25,1964,3.850147602,1,0,0,0,0,40,3.713572067,0.78,1,2.896586212,0,0,1,1,1,1,0,0,1,0,0.314235476,4.343805422,0.6687735,3.581081081,4037.396122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.835726478,0.835726478,3,9,8.504853807,3724.654291,5477.381877,1829.977079,3.040902959,2.25,1964,3.828641396,1,0,0,0,0,40,3.713572067,0.78,1,2.896586212,0,0,1,1,1,1,0,0,1,0,0.333315932,4.343805422,0.679470997,3.432432432,4037.396122
AFDB,2011,3008.145092,5624.130027,8.634821553,2041.460801,3.012017496,2.25,1964,3.871201011,1,0,0,0,0,43,3.784189634,0.83,1,3.140877396,0,0,1,1,1,1,0,0,1,0,0.305752776,4.33073334,0.630380862,3.958333333,4140.444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,4,4,4,4,3,2,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.184325903,1.034195293,0.835726478,1.351415892,4,16,8.634821553,2991.683838,4938.682166,1722.323351,3.026258515,2.25,1964,3.850147602,1,0,0,0,0,40,3.713572067,0.78,1,2.896586212,0,0,1,1,1,1,0,0,1,0,0.314235476,4.343805422,0.6687735,3.581081081,4037.396122
AFDB,2012,2940.959764,6014.756566,8.701971156,2635.297995,2.936861238,2.25,1964,3.891820298,1,0,0,0,0,44,3.80666249,0.85,1,3.235663116,0,0,1,1,1,1,0,0,1,0,0.29735038,4.343805422,0.61826598,3.876712329,4037.396122,3,3,3,2,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.535,4.12,4.23,4.74,3.385,4.71,4.035,3.27,4.17,4.115,4.045,3.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305698534,-0.372325981,-0.394693611,NA,NA,NA,-0.153773686,5,25,8.701971156,3008.145092,5624.130027,2041.460801,3.012017496,2.25,1964,3.871201011,1,0,0,0,0,43,3.784189634,0.83,1,3.140877396,0,0,1,1,1,1,0,0,1,0,0.305752776,4.33073334,0.630380862,3.958333333,4140.444444
AFDB,2013,3774.223636,6393.753078,8.763076711,2570.962644,2.972894599,2.25,1964,3.912023005,1,0,0,0,0,45,3.828641396,0.85,1,3.254345187,0,0,1,1,1,1,0,0,1,0,0.290676334,4.369447852,0.686440914,4.106666667,3997.370151,NA,NA,NA,NA,4,NA,NA,NA,NA,4.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,3,4,NA,NA,3,2,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0.177578077,1.190845647,1.034195293,NA,0.800873006,6,36,8.763076711,2940.959764,6014.756566,2635.297995,2.936861238,2.25,1964,3.891820298,1,0,0,0,0,44,3.80666249,0.85,1,3.235663116,0,0,1,1,1,1,0,0,1,0,0.29735038,4.343805422,0.61826598,3.876712329,4037.396122
AFDB,2015,3197.879607,5153.021307,8.547338483,2130.241157,2.961603464,2.25,1964,3.951243719,1,0,0,0,0,49,3.912023005,0.85,1,3.325219555,0,0,1,1,1,1,0,0,1,0,0.299695981,4.369447852,0.765195894,4.253333333,4013.806706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946186067,NA,NA,0.946186067,8,64,8.547338483,3071.143573,6405.952723,2321.772009,3.012560234,2.25,1964,3.931825633,1,0,0,0,0,47,3.871201011,0.85,1,3.290520859,0,0,1,1,1,1,0,0,1,0,0.292830627,4.382026635,0.718159854,4.223684211,3917.641404
AFDB,2016,2530.558726,5016.534092,8.520494554,2087.581826,2.958859735,2.25,1964,3.970291914,1,0,0,0,0,52,3.970291914,0.86,1,3.414451046,0,0,1,1,1,1,0,0,1,0,0.294677676,4.382026635,0.738182892,4.118421053,3917.641404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.34,2.89,3.11,3.27,2.77,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3,3,NA,NA,NA,3,4,2,3.5,3,3,NA,0.456800721,NA,NA,0.81930783,NA,0.638054275,9,81,8.520494554,3197.879607,5153.021307,2130.241157,2.961603464,2.25,1964,3.951243719,1,0,0,0,0,49,3.912023005,0.85,1,3.325219555,0,0,1,1,1,1,0,0,1,0,0.299695981,4.369447852,0.765195894,4.253333333,4013.806706
AFDB,2017,3689.856744,5847.896474,8.673837298,2125.882875,3.011470501,2.25,1964,3.988984047,1,0,0,0,0,55,4.025351691,0.87,1,3.502055971,0,0,1,1,1,1,0,0,1,0,0.289986476,4.382026635,0.714646271,4.236842105,3917.641404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946186067,NA,NA,0.946186067,10,100,8.673837298,2530.558726,5016.534092,2087.581826,2.958859735,2.25,1964,3.970291914,1,0,0,0,0,52,3.970291914,0.86,1,3.414451046,0,0,1,1,1,1,0,0,1,0,0.294677676,4.382026635,0.738182892,4.118421053,3917.641404
ASDB,2008,2183.89,5366.187,8.587872879,702.646,4.869060471,3.5,1966,3.761200116,1,0,0,0,0,52,3.970291914,0.97,1,3.851183156,0,0,1,1,1,1,0,0,1,0,0.329527735,4.127134385,0.824876599,5.24,985.3490376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068638727,0.068638727,1,1,8.587872879,2089.639,3612.013,852.579,4.763960152,3.5,1966,3.737669618,1,0,0,0,0,52,3.970291914,0.97,1,3.851183156,0,0,1,1,1,1,0,0,1,0,0.343972401,4.127134385,0.785469497,4.82,985.3490376
ASDB,2010,1526.504,2575.805,7.853917386,1035.578,4.597959473,3.5,1966,3.80666249,1,0,0,0,0,53,3.988984047,0.97,1,3.869314525,0,0,1,1,1,1,0,0,1,0,0.304576951,4.110873864,0.957735119,5.387755102,1016.646849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068638727,0.068638727,3,9,7.853917386,2210.861,2856.064,653.747,4.771102118,3.5,1966,3.784189634,1,0,0,0,0,52,3.970291914,0.97,1,3.851183156,0,0,1,1,1,1,0,0,1,0,0.321480857,4.110873864,0.882770397,5.346938776,1016.646849
ASDB,2011,2070.192,3518.573,8.165810789,1578.848,4.551281727,3.5,1966,3.828641396,1,0,0,0,0,54,4.007333185,0.97,1,3.88711319,0,0,1,1,1,1,0,0,1,0,0.289339022,4.127134385,0.96492628,5.66,985.3490376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.175,4.74,4.065,5.285,3.455,4.675,4.555,4.15,5.135,4.775,4.835,5.05,4,3,2,4,3,3,3,4,4,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,1.516373664,NA,0.784260521,1.608591658,0.068638727,0.994466143,4,16,8.165810789,1526.504,2575.805,1035.578,4.597959473,3.5,1966,3.80666249,1,0,0,0,0,53,3.988984047,0.97,1,3.869314525,0,0,1,1,1,1,0,0,1,0,0.304576951,4.110873864,0.957735119,5.387755102,1016.646849
ASDB,2012,1568.869,2959.266,7.992696544,1297.269,4.561624741,3.5,1966,3.850147602,1,0,0,0,0,57,4.060443011,0.97,1,3.93862972,0,0,1,1,1,1,0,0,1,0,0.288947815,4.110873864,0.845317892,5.653061224,1016.646849,3,3,3,2,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305698534,NA,1.709674911,NA,NA,NA,1.007686722,5,25,7.992696544,2070.192,3518.573,1578.848,4.551281727,3.5,1966,3.828641396,1,0,0,0,0,54,4.007333185,0.97,1,3.88711319,0,0,1,1,1,1,0,0,1,0,0.289339022,4.127134385,0.96492628,5.66,985.3490376
ASDB,2013,1582,2869,7.961718816,1373,4.52143604,3.5,1966,3.871201011,1,0,0,0,0,57,4.060443011,0.98,1,3.97923415,0,0,1,1,1,1,0,0,1,0,0.289478528,4.110873864,0.890530037,5.734693878,1016.646849,NA,NA,NA,NA,4.5,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,4.79,4.785,5,4.69,3.99,4.795,5.205,4.395,5.215,4.75,4.675,4.57,3,4,3,3,3,4,NA,NA,4,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,1.645923178,1.788141696,0.972263443,1.608591658,NA,1.503729994,6,36,7.961718816,1568.869,2959.266,1297.269,4.561624741,3.5,1966,3.850147602,1,0,0,0,0,57,4.060443011,0.97,1,3.93862972,0,0,1,1,1,1,0,0,1,0,0.288947815,4.110873864,0.845317892,5.653061224,1016.646849
ASDB,2015,1401,2524,7.833600224,1123,4.555071315,3.5,1966,3.912023005,1,0,0,0,0,60,4.110873864,0.98,1,4.028656387,0,0,1,1,1,1,0,0,1,0,0.286577513,4.127134385,0.869992825,5.568627451,985.3490376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946186067,NA,NA,0.946186067,8,64,7.833600224,1837,2949,1591,4.460495083,3.5,1966,3.891820298,1,0,0,0,0,60,4.110873864,0.98,1,4.028656387,0,0,1,1,1,1,0,0,1,0,0.290921845,4.110873864,0.914372357,5.34,1016.646849
ASDB,2016,1814,2921,7.979681302,999,4.657993838,3.5,1966,3.931825633,1,0,0,0,0,62,4.143134726,0.98,1,4.060272032,0,0,1,1,1,1,0,0,1,0,0.287345477,4.110873864,0.795209899,5.4,1016.646849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3,3,NA,NA,NA,3.5,3.5,3,3.5,3.5,3,NA,NA,NA,NA,1.235802647,NA,1.235802647,9,81,7.979681302,1401,2524,1123,4.555071315,3.5,1966,3.912023005,1,0,0,0,0,60,4.110873864,0.98,1,4.028656387,0,0,1,1,1,1,0,0,1,0,0.286577513,4.127134385,0.869992825,5.568627451,985.3490376
ASDB,2017,2265,3760,8.232174236,1059,4.718351064,3.5,1966,3.951243719,1,0,0,0,0,65,4.189654742,0.98,1,4.105861647,0,0,1,1,1,1,0,0,1,0,0.282088927,4.110873864,0.815224257,5.3,1016.646849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.426260617,NA,NA,0.426260617,10,100,8.232174236,1814,2921,999,4.657993838,3.5,1966,3.931825633,1,0,0,0,0,62,4.143134726,0.98,1,4.060272032,0,0,1,1,1,1,0,0,1,0,0.287345477,4.110873864,0.795209899,5.4,1016.646849
ASDB,2018,3934,4776,8.471358655,878,4.816164154,3.5,1966,3.970291914,1,0,0,0,0,67,4.219507705,0.98,1,4.135117551,0,0,1,1,1,1,0,0,1,0,0.284596286,4.110873864,0.791225571,5.26,1016.646849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41,3.48,3.21,3.81,3.38,2.83,2,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.881181451,NA,NA,NA,NA,0.881181451,11,121,8.471358655,2265,3760,1059,4.718351064,3.5,1966,3.951243719,1,0,0,0,0,65,4.189654742,0.98,1,4.105861647,0,0,1,1,1,1,0,0,1,0,0.282088927,4.110873864,0.815224257,5.3,1016.646849
CDB,2011,55.769,130.524,4.871557118,42.513,3.674289786,3.5,1969,3.761200116,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.957332656,3.135494216,0.781679202,6,5614.36673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.801199376,NA,-1.801199376,4,16,4.871557118,63.371,140.398,38.397,3.726513198,3.5,1969,3.737669618,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.935250968,3.091042453,0.770845872,6.076923077,5454.545455
CDB,2013,85.214,192.74,5.26134213,66.266,3.656189686,3.5,1969,3.80666249,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.86564225,3.17805383,0.759700372,6.6,5763.888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.801199376,NA,-1.801199376,6,36,5.26134213,61.993,174.042,74.778,3.570345089,3.5,1969,3.784189634,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.841113768,3.17805383,0.750601689,6.133333333,5763.888889
CDB,2016,65.102,127.133,4.845233783,62.451,3.508774276,3.5,1969,3.871201011,1,0,0,0,0,5,1.791759469,1,0.25,0.447939867,0,0,1,1,1,1,0,0,1,0,0.931395322,3.17805383,0.707282135,6.866666667,5763.888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.8125,3,NA,NA,NA,3,3,2,3,3.5,2,NA,NA,NA,NA,-0.118407866,NA,-0.118407866,9,81,4.845233783,49.637,172.506,92.669,3.462807091,3.5,1969,3.850147602,1,0,0,0,0,5,1.791759469,1,0.25,0.447939867,0,0,1,1,1,1,0,0,1,0,0.911509931,3.17805383,0.778466888,6.666666667,5763.888889
